"astro-ph/0012253","Nikhil Padmanabhan","Jeffrey A. Willick (deceased/formerly at Stanford) and Nikhil
  Padmanabhan (Stanford)","Weak Lensing Constraints on Cluster Structural Parameters","16 pages, 23 figures. Submitted to MNRAS",,,,"astro-ph",,"  We study the reliability of dark matter (DM) profile determinations for rich
clusters of galaxies based on weak gravitational lensing measurements. We
consider three functional forms for the mass distribution: a softened
isothermal sphere (SIS), the Navarro, Frenk, & White model (NFW) and the
Klypin, Kravstov, Bullock, & Primack model (KKBP). A maximum likelihood
parametric method is developed and applied to simulated images of background
galaxies (z=2.0) lensed by clusters at z=0.2, 0.5, and 0.8. The images have
field size (~10 arcmin) and angular resolution (~0.5 arcsec) characteristic of
the new generation of 8-10 meter-class ground-based telescopes. The method
recovers the correct virial mass of the DM halo, M_{200}, to within ~10% at all
redshifts. The recovered values of \delta_c and r_s are only accurate to ~25%;
however, their correlated errors are such that greater accuracy is obtained for
the mass. Clusters with an SIS density profile are recognized by the method,
while NFW and KKBP clusters are recognized as not being SIS. The method does
not discriminate between NFW and KKBP profiles for clusters of a given mass,
because they are too similar in their outer regions. Strongly lensed arcs near
the cluster centers would be needed to distinguish NFW from KKBP.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 2000 22:42:00 GMT""}]","2007-05-23"
"astro-ph/0012264","David Merritt","David Merritt (Rutgers University)","Brownian Motion of a Massive Binary","27 pages, 11 postscript figures, uses emulateapj.sty. Accepted for
  publication in The Astrophysical Journal","Astrophys.J. 556 (2001) 245","10.1086/321550","Rutgers Astrophysics Preprint Series No. 296","astro-ph cond-mat.stat-mech",,"  The dynamical friction and diffusion coefficients are derived for a massive
binary that moves against a uniform background of stars. The random impulses
exerted on the binary's center of mass by the field stars are greater than
those exerted on a point particle due to inelastic scattering. The frictional
force acting on the binary is less than that acting on a point particle due to
randomization of the trajectories of field stars that pass near the binary.
Both effects tend to increase the random motion of a binary compared with that
of a point mass. If the maximum effective impact parameter for gravitational
encounters is comparable to the radius of gravitational influence of the
binary, its Brownian velocity can be increased by a modest factor compared with
that of a single particle. This condition is probably fulfilled in the case of
binary supermassive black holes in galactic nuclei.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 2000 21:28:08 GMT""},{""version"":""v2"",""created"":""Wed, 21 Mar 2001 19:51:06 GMT""}]","2009-10-31"
"astro-ph/0012267","Itay Furman","Ofer Biham (1), Itay Furman (1), Valerio Pirronello (2) and Gianfranco
  Vidali (3) ((1) The Racah Institute of Physics, The Hebrew University,
  Jerusalem, Israel (2) Dipartimento di Metodologie Fisiche e Chimiche per
  l'Ingegneria, Universita' di Catania, Catania, Italy, (3) Department of
  Physics, Syracuse University, Syracuse, New York, USA)","Master Equation for Hydrogen Recombination on Grain Surfaces","Latex document. 14 pages of text. Four associated figs in in PS
  format on separate files that are ""called-in"" the LaTeX document",,"10.1086/320975",,"astro-ph",,"  Recent experimental results on the formation of molecular hydrogen on
astrophysically relevant surfaces under conditions similar to those encountered
in the interstellar medium provided useful quantitative information about these
processes. Rate equation analysis of experiments on olivine and amorphous
carbon surfaces provided the activation energy barriers for the diffusion and
desorption processes relevant to hydrogen recombination on these surfaces.
However, the suitability of rate equations for the simulation of hydrogen
recombination on interstellar grains, where there might be very few atoms on a
grain at any given time, has been questioned. To resolve this problem, we
introduce a master equation that takes into account both the discrete nature of
the H atoms and the fluctuations in the number of atoms on a grain. The
hydrogen recombination rate on microscopic grains, as a function of grain size
and temperature, is then calculated using the master equation. The results are
compared to those obtained from the rate equations and the conditions under
which the master equation is required are identified.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 2000 16:30:00 GMT""}]","2009-10-31"
"astro-ph/0012268","Alice K. Harding","Alice K. Harding (NASA Goddard Space Flight Center)","Gamma-Ray Pulsars: Models and Predictions","12 pages, 4 figures, invited talk at Gamma 2000, Heidelberg, to be
  published in High-Energy Gamma-Ray Astronomy, ed. F.A. Aharonian & H. Volk",,"10.1063/1.1370785",,"astro-ph",,"  Pulsed emission from gamma-ray pulsars originates inside the magnetosphere,
from radiation by charged particles accelerated near the magnetic poles or in
the outer gaps. In polar cap models, the high energy spectrum is cut off by
magnetic pair production above an energy that is dependent on the local
magnetic field strength. While most young pulsars with surface fields in the
range B = 10^{12} - 10^{13} G are expected to have high energy cutoffs around
several GeV, the gamma-ray spectra of old pulsars having lower surface fields
may extend to 50 GeV. Although the gamma-ray emission of older pulsars is
weaker, detecting pulsed emission at high energies from nearby sources would be
an important confirmation of polar cap models. Outer gap models predict more
gradual high-energy turnovers at around 10 GeV, but also predict an inverse
Compton component extending to TeV energies. Detection of pulsed TeV emission,
which would not survive attenuation at the polar caps, is thus an important
test of outer gap models. Next-generation gamma-ray telescopes sensitive to
GeV-TeV emission will provide critical tests of pulsar acceleration and
emission mechanisms.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 2000 16:52:29 GMT""}]","2009-10-31"
"astro-ph/0012269","Markus Boettcher","M. Boettcher (Rice University)","Coronal cooling and its signatures in the rapid aperiodic variability of
  Galactic black-hole candidates","23 pages, including 8 figures and 2 tables; accepted for publication
  in ApJ; extended discussion w.r.t. original version",,"10.1086/320982",,"astro-ph",,"  The most popular models for the complex phase and time lags in the rapid
aperiodic variability of Galactic X-ray binaries are based Comptonization of
soft seed photons in a hot corona, where small-scale flares are induced by
flares of the soft seed photon input (presumably from a cold accretion disc).
However, in their original version, these models have neglected the additional
cooling of the coronal plasma due to the increased soft seed photon input, and
assumed a static coronal temperature structure. In this paper, our
Monte-Carlo/Fokker-Planck code for time-dependent radiation transfer and
electron energetics is used to simulate the self-consistent coronal response to
the various flaring scenarios that have been suggested to explain phase and
time lags observed in some Galactic X-ray binaries. It is found that the
predictions of models involving slab-coronal geometries are drastically
different from those deduced under the assumption of a static corona. However,
with the inclusion of coronal cooling they may even be more successful than in
their original version in explaining some of the observed phase and time lag
features. The predictions of the model of inward-drifting density perturbations
in an ADAF-like, two-temperature flow also differ from the static-corona case
previously investigated, but may be consistent with the alternating phase lags
seen in GRS 1915+105 and XTE J1550-564. Models based on flares of a cool disc
around a hot, inner two-temperature flow may be ruled out for most objects
where significant Fourier-frequency-dependent phase and time lags have been
observed.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 2000 16:58:00 GMT""},{""version"":""v2"",""created"":""Thu, 1 Feb 2001 19:12:24 GMT""}]","2009-10-31"
"astro-ph/0012270","Rosemary Wyse","Rosemary F.G. Wyse (Johns Hopkins Univ)","The Merging History of the Milky Way Disk","10 pages, LaTeX, three embedded figures, uses newpasp.sty. To appear
  in Galaxy Disks and Disk Galaxies, ASP Conference series, eds J.G. Funes and
  E.M. Corsini",,,,"astro-ph",,"  The stellar populations of the stellar halo and of the thick disk of the
Milky Way reveal much about the merging history that our Galaxy, a typical
large disk galaxy, has experienced. Our current understanding, described here,
implies a rather quiet evolution for the disk, back to redshifts of order 2.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 2000 17:05:16 GMT""}]","2007-05-23"
"astro-ph/0012271","Piero Madau","Piero Madau, Francesco Haardt, and Lucia Pozzetti","Extragalactic Background Light, MACHOs, and the Cosmic Stellar Baryon
  Budget","LaTeX, 14 pages, 5 figures, to appear in The Extragalactic Infrared
  Background and its Cosmological Implications, IAU Symp. 204, 2000, M. Harwit
  and M. Hauser, eds. (a few typos have been corrected in the original version)",,,,"astro-ph",,"  The optical/far-IR extragalactic background light (EBL) from both resolved
and unresolved extragalactic sources is an indicator of the total luminosity of
cosmic structures, as the cumulative emission from young and evolved galactic
systems, as well as from active galactic nuclei (AGNs), is recorded in this
radiation. This is a brief review of some of the implications of the observed
brightness of the night sky for the stellar mass density and average
metallicity of the universe today, and of the possible contribution of MACHO
progenitors and QSOs to the EBL. Assuming a Salpeter initial mass function with
a cutoff below 0.6 M_sun, a lower limit of Omega_{g+s}h^2>0.0015 I_{60} can be
derived to the visible (recycled gas + stars) mass density required to generate
an EBL at a level of I_{EBL}=60 I_{60} nW/m^2/sr: our latest, best-guess
estimate is Omega_{g+s}h^2 ~ 0.0023 I_{60}, which implies a mean metallicity at
the present-epoch of y_Z Omega_{g+s}/Omega_b ~ 0.2 Z_sun. If massive dark halos
around spiral galaxies are partially composed of faint, old white dwarfs, i.e.
if a non-negligible fraction (a few percent) of the nucleosynthetic baryons is
locked in the remnants (MACHOs) of intermediate-mass stars forming at very high
redshifts, then the bright early phases of such halos should contribute
significantly to the observed EBL. Assuming a standard black hole accretion
model for quasar activity and using recent observations of the quasar
population and new synthesis models for the cosmic X-ray background, we
estimate a present mass density of QSO remnants of rho_{BH} ~ 3e5 M_sun/Mpc^3
for a 10% efficiency of accreted mass-to-radiation conversion. The quasar
contribution to the brightness of the night sky is I_QSO ~ 2 nW/m^2/sr.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 2000 18:23:38 GMT""},{""version"":""v2"",""created"":""Mon, 18 Dec 2000 17:27:32 GMT""}]","2007-05-23"
"astro-ph/0012272","Charles Dermer","Charles D. Dermer (NRL) and Mayer Humi (WPI)","Adiabatic Losses and Stochastic Particle Acceleration in Gamma-Ray Burst
  Blast Waves","30 pages, 11 figures, ApJ, in press, vol. 555, July 10th, 2001
  (introduction rewritten, added references and comparison with previous work)","Astrophys.J. 556 (2001) 479-493","10.1086/321580",,"astro-ph",,"  We treat the problem of adiabatic losses and stochastic particle acceleration
in gamma-ray burst (GRB) blast waves that decelerate by sweeping up matter from
an external medium. The shocked fluid is assumed to be represented by a
homogeneous expanding shell. The energy lost by nonthermal particles through
adiabatic expansion is converted to the bulk kinetic energy of the outflow,
permitting the evolution of the bulk Lorentz factor Gamma of the blast wave to
be self-consistently calculated. The behavior of the system is shown to
reproduce the hydrodynamic self-similar solutions in the relativistic and
nonrelativistic limits, and the formalism is applicable to scenarios that are
intermediate between the adiabatic and fully radiative regimes. Nonthermal
particle energization through stochastic gyroresonant acceleration with
magnetic turbulence in the blast wave is treated by employing energy-gain rates
and diffusive escape timescales based upon expressions derived in the
quasilinear regime. If the magnetic field in the shocked fluid approaches its
equipartition value, this process can accelerate escaping particles to
>~10^{20} eV energies, consistent with the hypothesis that ultra-high energy
cosmic rays (UHECRs) are accelerated by GRB blast waves. Due to particle
trapping by the magnetic turbulence, only the highest energy particles can
escape during the prompt and afterglow phases of a GRB for acceleration by a
Kolmogorov spectrum of MHD turbulence. Lower energy particles begin to escape
as the blast wave becomes nonrelativistic and shock Fermi acceleration becomes
more important.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 2000 20:12:57 GMT""},{""version"":""v2"",""created"":""Mon, 26 Mar 2001 16:11:56 GMT""}]","2009-10-31"
"astro-ph/0012273","Paolo Natoli","C. Burigana, P. Natoli, N. Vittorio, N. Mandolesi, M. Bersanelli","In-flight main beam reconstruction for Planck-LFI","10 pages, submitted to A&A","Exper.Astron. 12 (2001) 87-106",,,"astro-ph",,"  In-flight measurement of the antenna main beams of the Planck instruments is
a crucial input to the data analysis pipeline. We study the main beam
reconstruction achievable through external planets using a flight simulator to
model their observation. We restrict our analysis to the 30 GHz LFI channel but
the method can be easily extended to higher frequency channels. We show that it
is possible to fit the antenna response from Jupiter and Saturn to obtain an
accurate, robust, simple and fast reconstruction of the main beam properties
under very general conditions, independently of the calibration accuracy.
  In addition, we find that a bivariate Gaussian approximation of the main beam
shapes represents a significant improvement with respect to a symmetric
representation.
  We also show that it is possible to combine the detection of the planet's
transit and Planck's very accurate in-flight calibration to measure the
planet's temperature at millimetric wavelengths with an accuracy at the %
level.
  This work is based on Planck-LFI activities.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 2000 20:25:31 GMT""}]","2007-05-23"
"astro-ph/0012274","Iain Neill Reid","I. Neill Reid, James Liebert and Gary D. Schmidt","Discovery of a Magnetic DZ White Dwarf with Zeeman-Split Lines of Heavy
  Elements","7 pages, Astrophysical Journal (Letters), in press",,"10.1086/319481",,"astro-ph",,"  A spectroscopic survey of previously-unstudied Luyten Half Second proper
motion stars has resulted in the discoveries of two new cool magnetic white
dwarfs. One (LHS 2273) is a routine DA star, T= 6,500K, with Zeeman-split H
alpha and H beta, for which a simple model suggests a polar field strength of
18.5 MG viewed close to equator-on. However, the white dwarf LHS 2534 proves to
be the first magnetic DZ showing Zeeman-split Na I and Mg I components, as well
as Ca I and Ca II lines for which Zeeman components are blended. The Na I
splittings result in a mean surface field strength estimate of 1.92 MG. Apart
from the magnetic field, LHS 2534 is one of the most heavily-blanketed and
coolest DZ white dwarfs at T ~ 6,000K.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 2000 21:06:21 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jan 2001 15:38:31 GMT""}]","2009-10-31"
