"astro-ph/0011231","Michael Kachelriess","M. Kachelriess","Ultrahigh energy cosmic rays and new particle physics","14 pages, 5 figures. Invited talk at ``CAPP-2K'', Verbier, July 2000",,"10.1063/1.1363517","CERN-TH 2000-324","astro-ph hep-ph",,"  The current status of the ultrahigh energy cosmic ray (UHE CR) enigma and
several proposed solutions involving particle physics beyond the standard model
are discussed. Emphasis is given to top--down models, and as a main example,
supermassive dark matter as galactic source for UHE CR and the status of its
experimental signatures (galactic anisotropy, chemical composition and
clustering) is reviewed. Then different approaches to calculate fragmentation
spectra of supermassive particles are discussed. Finally, it is argued that UHE
neutrinos cannot be - neither directly or indirectly - responsible for the
observed vertical air showers.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 20:03:05 GMT""}]","2009-10-31"
"astro-ph/0011250","Thilo Kranz","Thilo Kranz, Adrianne Slyz and Hans-Walter Rix","Measuring Stellar and Dark Mass Fractions in Spiral Galaxies","5 pages, 3 figures, to appear in ""Dark 2000: Third International
  Conference on Dark Matter in Astro and Particle Physics"", H.V.
  Klapdor-Kleingrothaus, B. Majorovits (eds.)",,,,"astro-ph",,"  We explore the relative importance of the stellar mass density as compared to
the inner dark halo, for the observed gas kinematics thoughout the disks of
spiral galaxies. We perform hydrodynamical simulations of the gas flow in a
sequence of potentials with varying the stellar contribution to the total
potential. The stellar portion of the potential was derived empirically from
K-band photometry. The output of the simulations - namely the gas density and
the gas velocity field - are then compared to the observed spiral arm
morphology and the H-alpha gas kinematics. We solve for the best matching
spiral pattern speed and draw conclusions on how massive the stellar disk can
be at most. For the case of the galaxy NGC 4254 (Messier 99) we demonstrate
that the prominent spiral arms of the stellar component would overpredict the
non-circular gas motions unless an axisymmetric dark halo component adds
significantly in the radial range R_exp < R < 3*R_exp.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 17:00:47 GMT""}]","2007-05-23"
"astro-ph/0011251","Ludovic van Waerbeke","R. Maoli, L. Van Waerbeke, Y. Mellier, P. Schneider, B. Jain, F.
  Bernardeau, T. Erben, B. Fort","Cosmic Shear Analysis in 50 Uncorrelated VLT Fields. Implications for
  Omega_0, sigma_8","11 pages, 8 figures, Submitted to A&A",,"10.1051/0004-6361:20010058",,"astro-ph",,"  We observed with the camera FORS1 on the VLT (UT1, ANTU) 50 randomly selected
fields and analyzed the cosmic shear inside circular apertures with diameter
ranging from 0.5 to 5.0 arc-minutes. The images were obtained in optimal
conditions by using the Service Observing proposed by ESO on the VLT, which
enabled us to get a well-defined and homogeneous set of data. The 50 fields
cover a 0.65 square-degrees area spread over more than 1000 square-degrees
which provides a sample ideal for minimizing the cosmic variance. Using the
same techniques as in Van Waerbeke et al. 2000, we measured the cosmic shear
signal and investigated the systematics of the VLT sample. We find a
significant excess of correlations between galaxy ellipticities on those
angular scales. The amplitude and the shape of the correlation as function of
angular scale are remarkably similar to those reported so far. Using our
combined VLT and CFHT data and adding the results published by other teams we
put the first joint constraints on Omega_0 and sigma_8 using cosmic shear
surveys. From a deduced average of the redshift of the sources the combined
data are consistent with sigma_8\simeq (0.59 \pm 0.03) Omega_0^{-0.47} (for a
CDM power spectrum and $\Gamma=0.21$), in excellent agreement with the
cosmological constraints obtained from the local cluster abundance.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 17:08:36 GMT""},{""version"":""v2"",""created"":""Tue, 14 Nov 2000 15:37:33 GMT""}]","2009-10-31"
"astro-ph/0011252","P. J. E. Peebles","P. J. E. Peebles","Concluding Remarks on New Cosmological Data and the Values of the
  Fundamental Parameters","8 pages; in IAU Symposium 201, New Cosmological Data and the Values
  of the Fundamental Parameters, Manchester, August 2000, eds. A. N. Lasenby,
  A. W. Jones and A. Wilkinson",,,,"astro-ph",,"  I review the reason for considering the prime purpose of the program of
measurements of the fundamental parameters of cosmology to be the tests of
cosmological models. I comment on the philosophy by which we are approaching
this goal, offer an assessment of where we stand, and present some thoughts on
where the tests may be headed.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 19:04:52 GMT""}]","2007-05-23"
"astro-ph/0011253","Sibgatullin Nail R.","N. R. Sibgatullin (1,3), R. A. Sunyaev (2,3) ((1) Moscow State
  University, (2) Space Research Institute, Moscow, (3) Max-Planck Institut
  fuer Astrophysik, Garching)","Energy Release During Disk Accretion onto a Rapidly Rotating Neutron
  Star","42 pages, 12 figures, to appear in Astronomy Letters, 2000, v.26,
  p.699","Astron.Lett. 26 (2000) 699","10.1134/1.1323277",,"astro-ph gr-qc",,"  The energy release L_s on the surface of a neutron star (NS) with a weak
magnetic field and the energy release L_d in the surrounding accretion disk
depend on two independent parameters that determine its state (for example,
mass M and cyclic rotation frequency f) and is proportional to the accretion
rate. We derive simple approximation formulas illustrating the dependence of
the efficiency of energy release in an extended disk and in a boundary layer
near the NS surface on the frequency and sense of rotation for various NS
equations of state. Such formulas are obtained for the quadrupole moment of a
NS, for a gap between its surface and a marginally stable orbit, for the
rotation frequency in an equatorial Keplerian orbit and in the marginally
stable circular orbit, and for the rate of NS spinup via disk accretion. In the
case of NS and disk counterrotation, the energy release during accretion can
reach $0.67\dot{M}c^2$. The sense of NS rotation is a factor that strongly
affects the observed ratio of nuclear energy release during bursts to
gravitational energy release between bursts in X-ray bursters. The possible
existence of binary systems with NS and disk counterrotation in the Galaxy is
discussed. Based on the static criterion for stability, we present a method of
constructing the dependence of gravitational mass M on Kerr rotation parameter
j and on total baryon mass (rest mass) m for a rigidly rotating neutron star.
We show that all global NS characteristics can be expressed in terms of the
function M(j, m) and its derivatives.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 19:44:09 GMT""}]","2009-10-31"
"astro-ph/0011254","Harald Kuntschner","Roger L. Davies, Harald Kuntschner, Eric Emsellem, R. Bacon, M.
  Bureau, C. Marcella Carollo, Y. Copin, Bryan W. Miller, G. Monnet, Reynier F.
  Peletier, E. K. Verolme, and P. Tim de Zeeuw","Galaxy mapping with the SAURON integral-field spectrograph: The star
  formation history of NGC 4365","5 pages, accepted for publication in ApJ Letters",,"10.1086/318930",,"astro-ph",,"  We report the first wide-field mapping of the kinematics and stellar
populations in the E3 galaxy NGC 4365. The velocity maps extend previous
long-slit work. They show two independent kinematic subsystems: the central 300
x 700 pc rotates about the projected minor axis, and the main body of the
galaxy, 3 x 4 kpc, rotates almost at right angles to this. The line-strength
maps show that the metallicity of the stellar population decreases from a
central value greater than solar, to one-half solar at a radius of 2 kpc. The
decoupled core and main body of the galaxy have the same luminosity-weighted
age, of ~14 Gyr, and the same elevated magnesium-to-iron ratio. The two
kinematically distinct components have thus shared a common star formation
history. We infer that the galaxy underwent a sequence of mergers associated
with dissipative star formation that ended >12 Gyr ago. The misalignment
between the photometric and kinematic axes of the main body is unambiguous
evidence of triaxiality. The similarity of the stellar populations in the two
components suggests that the observed kinematic structure has not changed
substantially in 12 Gyr.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 20:16:35 GMT""}]","2009-10-31"
"astro-ph/0011255","Sandhya Rao","Timothy S. Hamilton (1,2,3), Stefano Casertano (2), David A. Turnshek
  (1) ((1) University of Pittsburgh, (2) STScI, 3. NASA/GSFC)","The Luminosity Function of QSO Host Galaxies","36 pages, 11 figures, LaTeX. Expanded analysis and additional
  figures. To be published in the Astrophysical Journal, v576, September 1,
  2002","Astrophys.J. 576 (2002) 61-74","10.1086/341724",,"astro-ph",,"  We present some results from our HST archival image study of 71 QSO host
galaxies. The objects are selected to have z < 0.46 and total absolute
magnitude M_V < -23 (H_0=50 km/s/Mpc). This initial study investigates host
morphology and radio loudness, and it derives the QSO host galaxy luminosity
function. We have analyzed available WFPC2 broad band images, using a uniform
set of procedures. The host galaxies span a narrow range of luminosities and
are exceptionally bright, much more so than normal galaxies, usually L > L*_V.
The QSOs are almost equally divided among radio-loud QSOs with elliptical
hosts, radio-quiet QSOs with elliptical hosts, and radio-quiet QSOs with spiral
hosts. Using a weighting procedure, we derive the combined luminosity function
of QSO host galaxies. We find that the luminosity function of QSO hosts differs
in shape from that of normal galaxies but that they coincide at the highest
luminosities. The ratio of the number of quasar hosts to the number of normal
galaxies at a luminosity L_V is R = [L_V/(11.48 L*_V)]^2.46, where L*_V
corresponds to M*_V = -22.35, and a QSO is defined to be an object with total
nuclear plus host light M_V < -23. This ratio can be interpreted as the
probability that a galaxy with luminosity L_V will host a QSO at redshift z ~
0.26. (Abridged)
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 23:19:54 GMT""},{""version"":""v2"",""created"":""Mon, 5 Aug 2002 19:40:54 GMT""}]","2009-10-31"
"astro-ph/0011257","Yasushi Fukazawa","Yasushi Fukazawa, Kazuhiro Nakazawa, Naoki Isobe, Kazuo Makishima,
  Kyoko Matsushita, Takaya Ohashi, and Tsuneyoshi Kamae","Detection of Excess Hard X-ray Emission from the Group of Galaxies HCG62","6 pages, 3 Postscript figures, uses emulateapj.sty. Accepted for
  publication in the Astrophysical Journal Letters",,"10.1086/318863",,"astro-ph",,"  From the group of galaxies HCG62, we detected an excess hard X-ray emission
in energies above $\sim 4$ keV with \A SCA. The excess emission is spatially
extended up to $\sim10'$ from the group center, and somewhat enhanced toward
north. Its spectrum can be represented by either a power-law of photon index
0.8-2.7, or a Bremsstrahlung of temperature $>6.3$ keV. In the 2-10 keV range,
the observed hard X-ray flux, $(1.0\pm0.3)\times10^{-12}$ erg cm$^{-2}$
s$^{-1}$, implies a luminosity of $(8.0\pm2.0)\times10^{41}$ erg s$^{-1}$ for a
Hubble constant of 50 km s$^{-1}$ Mpc$^{-1}$. The emission is thus too luminous
to be attributed to X-ray binaries in the memb er galaxies. We discuss possible
origin of the hard X-ray emission.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 00:58:40 GMT""}]","2009-10-31"
"astro-ph/0011258","Evan S. Scannapieco","Evan Scannapieco, Robert J. Thacker, Marc Davis","High-Redshift Galaxy Outflows and the Formation of Dwarf Galaxies","15 pages, 9 figures, accepted to the Astrophysical Journal",,"10.1086/321681",,"astro-ph",,"  We examine the effects of galaxy outflows on the formation of dwarf galaxies
in numerical simulations of the high-redshift Universe. Using a Smoothed
Particle Hydrodynamic code, we conduct two detailed simulations of a (5.2
Mpc/h)^3 comoving volume of the Universe. In both simulations we implement
simple, well-motivated models of galaxy identification and star formation,
while our second simulation also includes a simple ``blow-out'' model of galaxy
outflows in which supernova driven winds from newly formed disk galaxies
punch-out and shock the intergalactic medium while leaving the host galaxies
intact. A direct comparison between these simulations suggests that there are
two major mechanisms by which outflows affect dwarf formation. Firstly, the
formation of an outflow slows down the further accretion of gas onto a galaxy,
causing an overall decrease of approximately 50% in the total gas mass accreted
by the objects in our simulations. Additionally, our simulations uncover a
significant population of approximately 10^9 solar mass objects whose formation
is suppressed by the mechanism of ``baryonic stripping,'' in which outflows
from early galaxies strip the gas out of nearby overdense regions that would
have otherwise later formed into dwarf galaxies. This mechanism may be
important in explaining the observed discrepancy between the number of dwarf
galaxies predicted and observed in the local group and provide a natural
explanation for the formation of empty halos which may be required by the
existence of the extremely gas-poor extra-galactic High-Velocity Clouds.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 01:10:00 GMT""},{""version"":""v2"",""created"":""Thu, 29 Mar 2001 22:34:04 GMT""}]","2009-10-31"
"astro-ph/0011259","Maartje Sevenster","M.Sevenster, H.v.Langevelde, R.Moody, J.Chapman, H.Habing, N.Killeen","The ATCA/VLA OH 1612 MHz survey. III. Northern Galactic Plane","9 pages, 9 figs, LaTeX, A&A (accepted), table+spectra on http",,"10.1051/0004-6361:20000354",,"astro-ph",,"  We present observations of the region between 5deg < l < 45deg and |b| <
3deg, in the OH 1612 MHz line, taken from 1993 to 1995 with the VLA. These
observations are the last part of a larger survey, covering |l| < 45deg and |b|
< 3deg, with the ATCA and the VLA. The region was systematically observed on a
30'x30' grid in (l,b) and the resulting coverage was 92%, with 965 pointings.
We found 286 OH--masing objects, 161 of which are new detections and 207 have
reliable IRAS point-source identifications. The outflow velocity was determined
for 276 sources. A total of 766 sources were detected in the combined ATCA/VLA
survey, of which 29 were detected in two regions of the survey. The source
tables and spectra may be downloaded from
http://msowww.anu.edu.au/~msevenst/pubs.html In this article we analyse the
data statistically and give identifications with known sources where possible.
The efficiency of this VLA survey is 75% of that of the ATCA Bulge survey. This
efficiency was determined by comparing the detections in the region where the
two surveys overlap. The completeness- and error characteristics are similar,
though less homogeneous, except for the much larger errors in the flux
densities. The relatively large surface number density found in the northern
disk, suggests that we can see the Bar extending to higher longitudes on this
side of the galactic Centre.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 01:36:27 GMT""}]","2019-08-17"
"astro-ph/0011260","Jun Yokogawa","Jun Yokogawa, Kensuke Imanishi, Masaru Ueno, Katsuji Koyama (Kyoto
  University)","Discovery of the Slowest X-Ray Pulsar in the SMC, AX J0049.5-7323, with
  ASCA","4 pages, 4 figures, to be published in PASJ. Also available at
  http://www-cr.scphys.kyoto-u.ac.jp/member/jun/job/",,"10.1093/pasj/52.6.L73",,"astro-ph",,"  The discovery of coherent pulsations with ASCA from an X-ray source, AX
J0049.5-7323, is reported. The barycentric period was determined to be 755.5
+/- 0.6 s, which is the longest among X-ray pulsators in the SMC. The X-ray
spectrum has been found to be unchanged through ASCA observations, with a
photon index of ~0.8 and a luminosity of ~5e35 erg s^-1 (0.7-10 keV). Archival
data of the Einstein and the ROSAT satellites indicate that the flux has been <
1e-12 erg s^-1 cm^-2 (< 5e35 erg s^-1) for over 20 years and exhibits a
variability with a factor of >10. We argue that AX J0049.5-7323 is an X-ray
pulsar with a Be star companion.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 04:28:04 GMT""}]","2015-06-24"
"astro-ph/0011262","Jiancheng Wang","Jiancheng Wang, Jirong Mao","Emissive Mechanism on Spectral Variability of Blazars in High
  Frequencies","24 pages, 6 figures, Paper submitted to ApJ",,"10.1086/321327",,"astro-ph",,"  The new results of the evolution of the synchrotron peak for Mrk 421 are
mostly likely related to the particle acceleration process. In order to account
for the above results, we present a model of blazar variability during the
flare in which the emission comes from accelerating electrons. A diffusion
advection equation of the electron energy distribution is derived to calculate
the spectrum and light curve of synchrotron radiation. We present that the
observed shifts of the synchrotron peak moving to higher energies during the
flare are caused by shock acceleration. The observed relation between changes
in the fluxes at specified frequency ranges and shifts of the peak position is
fitted to constrain the physical parameters of the dissipation region.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 06:18:21 GMT""}]","2016-08-30"
"astro-ph/0011263","Rosa M. Gonzalez Delgado","Emilio Alfaro, Enrique Perez, Rosa M. Gonzalez Delgado, Marcos Martos
  & Jose Franco","Detection of a Corrugated Velocity Pattern in the Spiral Galaxy NGC 5427","Accepted for publication in ApJ",,"10.1086/319720",,"astro-ph",,"  Here we report the detection, in Halpha emission, of a radial corrugation in
the velocity field of the spiral galaxy NGC 5427. The central velocity of the
Halpha line displays coherent, wavy-like variations in the vicinity of the
spiral arms. The spectra along three different arm segments show that the
maximum amplitude of the sinusoidal line variations are displaced some 500 pc
from the central part of the spiral arms. The peak blueshifted velocities
appear some 500 pc upstream the arm, whereas the peak redshifted velocities are
located some 500 pc downstream the arm. This kinematical behavior is similar to
the one expected in a galactic bore generated by the interaction of a spiral
density wave with a thick gaseous disk, as recently modeled by Martos & Cox
(1998).
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 09:19:42 GMT""}]","2009-10-31"
"astro-ph/0011264","Fabien L. Casse","Fabien Casse & Jonathan Ferreira","MHD jets around galactic objects","4 pages, to be published in the proceeding of the Third Microquasar
  Workshop, eds A.Castro-Tirado, J. Greiner and J. Paredes","Astrophys.Space Sci. 276 (2001) 263-266",,,"astro-ph",,"  We present a self-similar, steady-state model describing both a magnetized
accretion disc and a magnetohydrodynamic jet. We focus on the role of a hot
corona in such a structure. This corona enables the disc to launch various
types of jets. By considering the energy conservation, we also present a
diagnostic of the luminosity of the magnetized disc, which could explain some
observational signatures of galactic objects.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 10:17:34 GMT""}]","2007-05-23"
"astro-ph/0011265","Manolis Plionis","Spyros Basilakos (IC-UK) and Manolis Plionis (NOA-Greece)","Cosmological Evolution of Linear Bias","16 pages, including 4 figures, ApJ accepted for publication",,"10.1086/319797",,"astro-ph",,"  Using linear perturbation theory and the Friedmann-Lemaitre solutions of the
cosmological field equations, we derive analytically a second-order
differential equation for the evolution of the linear bias factor, b(z),
between the background matter and a mass-tracer fluctuation field. We find b(z)
to be a strongly dependent function of redshift in all cosmological models.
Comparing our analytical solution with the semi-analytic model of Mo & White,
which utilises the Press-Schechter formalism and the gravitationally induced
evolution of clustering, we find an extremely good agreement even at large
redshifts, once we normalize to the same bias value at two different epochs,
one of which is the present. Furthermore, our analytic b(z) function agrees
well with the outcome of N-body simulations even up to large redshifts.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 10:52:07 GMT""}]","2009-10-31"
