"astro-ph/0011233","Daniele Steer","D.A.Steer","Self-intersections and gravitational properties of chiral cosmic strings
  in Minkowski space","18 pages, 7 figures. Typos corrected and a reference added. Version
  to appear in PRD","Phys.Rev. D63 (2001) 083517","10.1103/PhysRevD.63.083517",,"astro-ph hep-ph",,"  Chiral cosmic strings are naturally produced at the end of D-term inflation
and they may have interesting cosmological consequences. As was first proved by
Carter and Peter, the equations of motion for chiral cosmic strings in
Minkowski space are integrable (just as for Nambu-Goto strings). Their
solutions are labeled by a function $k(\sigma - t)$ where $t$ is time and
$\sigma$ is the invariant length along the string, and the constraints on $k$,
which determines the charge on the string, are that $0 \leq k^2 \leq 1$. We
review the origin of this parameter and also discuss some general properties of
such strings which can be deduced from the equations of motion. The metric
around infinite chiral strings is then constructed in the weak field limit, and
studied as a function of $k$. We also consider the angular momentum of circular
chiral loops, and extend previous work to consider the evolution and
self-intersection properties of a more general family of chiral cosmic string
loops for which $k^2(\sigma-t)$ is not constant.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 19:15:17 GMT""},{""version"":""v2"",""created"":""Tue, 9 Jan 2001 12:47:13 GMT""}]","2009-10-31"
"astro-ph/0011234","Harald Kuntschner","Harald Kuntschner (1), John R. Lucey (1), Russell J. Smith (1,2),
  Michael J. Hudson (3), Roger L. Davies(1) ((1) University of Durham, (2)
  Univ. Cat\'olica de Chile, (3) University of Waterloo)","On the dependence of spectroscopic indices of early-type galaxies on
  age, metallicity and velocity dispersion","17 pages. Accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 323 (2001) 615","10.1046/j.1365-8711.2001.04263.x",,"astro-ph",,"  We investigate the Mg-sigma and <Fe>-sigma relations in a sample of 72
early-type galaxies drawn mostly from cluster and group environments using a
homogeneous data-set which is well-calibrated onto the Lick/IDS system. The
small intrinsic scatter in Mg at a given sigma gives upper limits on the spread
in age and metallicity of 49% and 32% respectively, if the spread is attributed
to one quantity only and if the variations in age and metallicity are
uncorrelated. The age/metallicity distribution as inferred from the Hbeta vs
<Fe> diagnostic diagram reinforces this conclusion, as we find mostly galaxies
with large luminosity weighted ages spanning a range in metallicity. In our
sample we do not find significant evidence for an anti-correlation of ages and
metallicities which would keep the index-sigma relations tight while hiding a
large spread in age and metallicity. As a result of correlated errors in the
age-metallicity plane, a mild age-metallicity anti-correlation cannot be
completely ruled out given the current data. Correcting the line-strengths
indices for non-solar abundance ratios following the recent paper by Trager et
al., leads to higher mean metallicity and slightly younger age estimates while
preserving the metallicity sequence. The [Mg/Fe] ratio is mildly correlated
with the central velocity dispersion and ranges from [Mg/Fe]=0.05 to 0.3 for
galaxies with sigma > 100 km/s. Under the assumption that there is no age
gradient along the index-sigma relations, the abundance-ratio corrected
Mg-sigma, <Fe>-sigma and Hbeta-sigma relations give consistent estimates of
Delta [M/H]/ Delta log sigma = 0.9 (+- 0.1). The slope of the Hbeta-sigma
relation limits a potential age trend as a function of sigma to 2-3 Gyrs along
the sequence.(abriged)
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 19:19:27 GMT""}]","2015-06-24"
"astro-ph/0011235","Daniel Mortlock","Daniel J. Mortlock (1), Rachel L. Webster (2) ((1) Cambridge
  University, (2) University of Melbourne)","Gravitational lensing and elliptical galaxies","New Cosmological Data and the Values of the Fundamental Parameters,
  A.N. Lasenby & A. Wilkinson, eds.; 2 pages, 1 figure",,,,"astro-ph",,"  If the statistics of quasar lensing are to be used to constrain the
cosmological model, the various potential systematic uncertainties in the
deflector population must be accounted for. One ambiguity in the lensing
properties of the dominant deflectors - elliptical galaxies - is their
dynamical normalisation. Assuming they can be modelled as isothermal spheres,
it is shown that their mass normalisation is sufficiently high that current
upper limits on the cosmological constant remain valid, and in fact probably
strengthened, even if ellipticals have significant core radii.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 20:34:13 GMT""}]","2007-05-23"
"astro-ph/0011236","Weiqun Zhang","Weiqun Zhang and Chris L. Fryer (UC, Santa Cruz)","The Merger of a Helium Star and a Black Hole: Gamma-Ray Bursts","28 pages, 12 figures, accepted by ApJ (March 2001 issue)",,"10.1086/319734",,"astro-ph",,"  There is growing observational evidence that gamma-ray bursts (GRBs) are
powered by black holes accreting rapidly through a disk. The supernova-like
outburst that accompanies some gamma-ray bursts suggest that some long-duration
GRBs may be driven by the accretion of a rotating stellar core onto a central
black hole. Such a system can be produced when a compact remnant spirals into
the helium core of its binary companion. During the inspiral, orbital angular
momentum is injected into the core. By the time the compact remnant reaches the
center of the helium core, it too has gained angular momentum as well as mass,
producing a rapidly accreting black hole (or neutron star) at the center of a
rotating stellar core. In this paper, we use a 3-dimensional smooth particle
hydrodynamics (SPH) code to follow such a merger process and make quantitative
estimates of the initial mass and spin of the central compact remnant, as well
as the angular momentum in the accreting helium core. From these results, we
estimate GRB explosion energies. In all mergers, magnetically driven jets are
expected to produce GRB explosions with energies above 10^{51} ergs. For
neutrino-annihilation-driven explosions, the GRB energy increases dramatically
with helium star mass: the merger of a 2 M_sun compact remnant with a 4 M_sun
helium star only produces a 10^{47} ergs explosion in \sim 500 s whereas the
merger of a 2 M_sun compact remnant with a 16 M_sun helium star produces a
>10^{52} ergs explosion in \sim 65 s. (Abridged)
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 01:01:31 GMT""}]","2009-10-31"
"astro-ph/0011237","Hiroyuki Hirashita","H. Hirashita (1), A. K. Inoue (1), H. Kamaya (1), H. Shibai (2)
  ((1)Kyoto University, (2) Nagoya University)","Emission from Dust in Galaxies: Metallicity Dependence","8 pages LaTeX, to appear in A&A",,"10.1051/0004-6361:20000008",,"astro-ph",,"  Infrared (IR) dust emission from galaxies is frequently used as an indicator
of star formation rate (SFR). However, the effect of the dust-to-gas ratio
(i.e., amount of the dust) on the conversion law from IR luminosity to SFR has
not so far been considered. Then, in this paper, we present a convenient
analytical formula including this effect. In order to obtain the dependence on
the dust-to-gas ratio, we extend the formula derived in our previous paper, in
which a theoretical formula converting IR luminosity to SFR was derived. That
formula was expressed as ${\rm SFR}/(M_\odot~{\rm yr}^{-1})=\{3.3\times
10^{-10}(1- \eta)/(0.4-0.2f+0.6\epsilon)\} (L_{\rm IR}/L_\odot)$, where f is
the fraction of ionizing photons absorbed by hydrogen, $\epsilon$ is the
efficiency of dust absorption for nonionizing photons, $\eta$ is the cirrus
fraction of observed dust luminosity, and $L_{\rm IR}$ is the observed
luminosity of dust emission in the 8-1000-$\mu$m range. Our formula explains
the IR excess of the Galaxy and the Large Magellanic Cloud. In the current
paper, especially, we present the metallicity dependence of our conversion law
between SFR and $L_{\rm IR}$. This is possible since both f and $\epsilon$ can
be estimated via the dust-to-gas ratio, which is related to metallicity. We
have confirmed that the relation between the metallicity and the dust-to-gas
ratio is applied to both giant and dwarf galaxies. Finally, we apply the result
to the cosmic star formation history. We find that the comoving SFR at z=3
calculated from previous empirical formulae is underestimated by a factor of
4-5.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 02:10:30 GMT""}]","2009-10-31"
"astro-ph/0011238","Gaitee A. J. Hussain","G.A.J. Hussain, M. Jardine, A. Collier Cameron","Mapping potential fields on the surfaces of rapidly rotating stars","9 pages, 8 figures, accepted by MNRAS","Mon.Not.Roy.Astron.Soc. 322 (2001) 681","10.1046/j.1365-8711.2001.04149.x",,"astro-ph",,"  We present a technique that combines Zeeman Doppler imaging (ZDI) principles
with a potential field mapping prescription in order to gain more information
about the surface field topology of rapid rotators. This technique is an
improvement on standard ZDI, which can sometimes suffer from the suppression of
one vector component due to the effects of stellar inclination, poor phase
coverage or lack of flux from dark areas on the surface. Defining a
relationship beween the different vector components allows information from one
component to compensate for reduced information in another. We present
simulations demonstrating the capability of this technique and discuss its
prospects.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 04:19:09 GMT""}]","2009-10-31"
"astro-ph/0011239","Nick Morgan","Nicholas D. Morgan (1), Robert H. Becker (2,3), Michael D. Gregg
  (2,3), Paul L. Schechter (1), and Richard L. White (4) ((1) MIT, (2) UC
  Davis, (3) LLNL/IGPP, (4) STScI)","The Gravitational Lens Candidate FBQ 1633+3134","24 pages, 5 figures. Accepted by AJ. A calibration error affecting B
  and V band apparent magnitudes has been corrected. The conclusions of the
  paper are not changed",,"10.1086/318744",,"astro-ph",,"  We present our ground-based optical imaging, spectral analysis, and high
resolution radio mapping of the gravitational lens candidate FBQ 1633+3134.
This z=1.52, B=17.7 quasar appears double on CCD images with an image
separation of 0.66 arcseconds and a flux ratio of ~3:1 across BVRI filters. A
single 0.27 mJy radio source is detected at 8.46 GHz, coincident to within an
arcsecond of both optical components, but no companion at radio wavelengths is
detected down to a flux level of 0.1 mJy (3 sigma). Spectral observations
reveal a rich metal-line absorption system consisting of a strong Mg II doublet
and associated Fe I and Fe II absorption features, all at an intervening
redshift of z=0.684, suggestive of a lensing galaxy. Point spread function
subtraction however shows no obvious signs of a third object between the two
quasar images, and places a detection limit of I > 23.0 if such an object
exists. Although the possibility that FBQ 1633+3134 is a binary quasar cannot
be ruled out, the evidence is consistent with it being a single quasar lensed
by a faint, metal-rich galaxy.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 06:11:51 GMT""},{""version"":""v2"",""created"":""Thu, 14 Dec 2000 22:21:04 GMT""}]","2009-10-31"
"astro-ph/0011240","Kohkichi Konno","Kohkichi Konno, Yasufumi Kojima","General Relativistic Modification of a Pulsar Electromagnetic Field","11 pages, 9 figures, accepted for publication in Prog. Theor. Phys","Prog.Theor.Phys. 104 (2000) 1117-1127","10.1143/PTP.104.1117",,"astro-ph gr-qc",,"  We consider an exterior electromagnetic field surrounding a rotating star
endowed with a dipole magnetic field in the context of general relativity.
  The analytic solution for a stationary configuration is obtained, and the
general relativistic modifications and the implications for pulsar radiation
are investigated in detail. We find that the general relativistic corrections
of both the electric field strength and the curvature radii of magnetic field
lines tend to enhance the curvature radiation photon energy.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 08:14:12 GMT""}]","2016-08-30"
"astro-ph/0011241","Silvia Vernetto","Silvia Vernetto (for the INCA Collaboration)","Search for Gamma Ray Bursts at Chacaltaya","5 pages, 4 figures, to appear on the Proceedings of the ""Chacaltaya
  Meeting on Cosmic Ray Physics"", held on July 2000, in La Paz, Bolivia","Nuovo Cim.C24:631-638,2001",,,"astro-ph",,"  A search for Gamma Ray Bursts in the GeV-TeV energy range has been performed
by INCA, an air shower array working at 5200 m of altitude at the Chacaltaya
Laboratory (Bolivia). The altitude of the detector and the use of the ""single
particle technique"" allows to lower the energy threshold up to few GeVs. No
significant signals are observed during the occurrence of 125 GRBs detected by
BATSE, and the obtained upper limits on the energy fluence in the interval
1-1000(100) GeV range from 3.2(8.6) 10^-5 to 2.6(7.0) 10^-2 erg/cm^2 depending
on the zenith angle of the events. These limits, thanks to the extreme altitude
of INCA, are the lowest ever obtained in the sub-TeV energy region by a ground
based esperiment.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 10:57:56 GMT""}]","2019-08-14"
"astro-ph/0011242","Mathew James Page","M.J. Page, K.O. Mason, F.J. Carrera, J. Clavel, J.S. Kaastra, E.M.
  Puchnarewicz, M. Santos-Lleo, H. Brunner, C. Ferrigno, I.M. George, F.
  Paerels, K.A. Pounds, S.P. Trudolyubov","The variable XMM-Newton spectrum of Markarian 766","6 pages, 6 figures, Accepted by A&A for publication in the Special
  Issue on 1st science with XMM Newton",,"10.1051/0004-6361:20000240",,"astro-ph",,"  The narrow-line Seyfert 1 galaxy Markarian 766 was observed for 60 ks with
the XMM-Newton observatory. The source shows a complex X-ray spectrum. The 2-10
keV spectrum can be adequately represented by a power law and broad Fe Ka
emission. Between 0.7 and 2 keV the spectrum is harder and exhibits a flux
deficit with respect to the extrapolated medium energy slope. Below 0.7 keV,
however, there is a strong excess of emission. The RGS spectrum shows an
edge-like feature at 0.7 keV; the energy of this feature is inconsistent with
that expected for an OVII edge from a warm absorber. Markarian 766 varies by a
factor of ~ 2 in overall count rate in the EPIC and RGS instruments on a
timescale of a few thousand seconds, while no significant flux changes are
observed in the ultraviolet with the OM. The X-ray variability is spectrally
dependent with the largest amplitude variability occurring in the 0.4-2 keV
band. The spectral variability can be explained by a change in flux and slope
of the medium energy continuum emission, superimposed on a less variable (or
constant) low energy emission component.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 11:16:56 GMT""}]","2009-10-31"
"astro-ph/0011243","Luca Amendola","Luca Amendola and Domenico Tocchini-Valentini (Osservatorio
  Astronomico di Roma)","Stationary dark energy: the present universe as a global attractor","5 pages, 4 figures, submitted to Phys. Rev. Lett. Minor revision
  (added some refs, shortened to match PRL requirements)","Phys.Rev.D64:043509,2001","10.1103/PhysRevD.64.043509",,"astro-ph gr-qc hep-ph",,"  We propose a cosmological model that makes a significant step toward solving
the coincidence problem of the near similarity at the present of the dark
energy and dark matter components. Our cosmology has the following properties:
a) among flat and homogeneous spaces, the present universe is a global
attractor: all the possible initial conditions lead to the observed proportion
of dark energy and dark matter; once reached, it remains fixed forever; b) the
expansion is accelerated at the present, as requested by the supernovae
observations; c) the model is consistent with the large-scale structure and
microwave background data; d) the dark energy and the dark matter densities
always scale similarly after equivalence and are close to within two orders of
magnitude. The model makes use of a non-linear coupling of the dark energy to
the dark matter that switches on after structure formation.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 11:49:22 GMT""},{""version"":""v2"",""created"":""Tue, 5 Dec 2000 14:02:54 GMT""}]","2008-11-26"
